timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 22:52:06.997197551 +0000 UTC m=+4.990015022,9,77148,79515000,6295552
2026-01-05 22:52:08.000768761 +0000 UTC m=+5.993586231,9,77148,834919000,16179200
2026-01-05 22:52:09.005826301 +0000 UTC m=+6.998643752,9,77148,1526427000,17031168
2026-01-05 22:52:10.00865183 +0000 UTC m=+8.001469291,9,77148,2215962000,17285120
2026-01-05 22:52:11.01141349 +0000 UTC m=+9.004230941,9,77148,2873226000,17813504
2026-01-05 22:52:12.014441881 +0000 UTC m=+10.007259362,9,77148,3539323000,17944576
2026-01-05 22:52:13.0178966 +0000 UTC m=+11.010714081,9,77148,4199266000,18059264
2026-01-05 22:52:14.02068686 +0000 UTC m=+12.013504312,9,77148,4856251000,18276352
2026-01-05 22:52:15.023171021 +0000 UTC m=+13.015988472,9,77148,5505643000,18624512
2026-01-05 22:52:16.02612993 +0000 UTC m=+14.018947381,9,77148,6170851000,18497536
2026-01-05 22:52:17.028988341 +0000 UTC m=+15.021805811,9,77148,6864962000,18862080
2026-01-05 22:52:18.03238874 +0000 UTC m=+16.025206192,9,77148,7635916000,19009536
2026-01-05 22:52:19.03613427 +0000 UTC m=+17.028951721,9,77148,8393998000,19161088
2026-01-05 22:52:20.039148311 +0000 UTC m=+18.031965792,9,77148,9098751000,18997248
2026-01-05 22:52:21.041735241 +0000 UTC m=+19.034552822,9,77148,9796779000,19591168
2026-01-05 22:52:22.04485091 +0000 UTC m=+20.037668401,9,77148,10483938000,19410944
2026-01-05 22:52:23.04828512 +0000 UTC m=+21.041102581,9,77148,11174129000,19800064
2026-01-05 22:52:24.05161045 +0000 UTC m=+22.044427921,9,77148,11831067000,19623936
2026-01-05 22:52:25.05482187 +0000 UTC m=+23.047639341,9,77148,12472298000,19726336
2026-01-05 22:52:26.05746952 +0000 UTC m=+24.050286971,9,77148,13113704000,19812352
2026-01-05 22:52:27.06039172 +0000 UTC m=+25.053209191,9,77148,13775798000,19898368
2026-01-05 22:52:28.06369189 +0000 UTC m=+26.056509361,9,77148,14503938000,20049920
2026-01-05 22:52:29.06718305 +0000 UTC m=+27.060000511,9,77148,15252754000,20242432
2026-01-05 22:52:30.06998816 +0000 UTC m=+28.062805611,9,77148,16043733000,20066304
2026-01-05 22:52:31.07436997 +0000 UTC m=+29.067187421,9,77148,16808440000,20414464
2026-01-05 22:52:32.07707173 +0000 UTC m=+30.069889171,9,77148,17513791000,20234240
2026-01-05 22:52:33.08047088 +0000 UTC m=+31.073288321,9,77148,18199860000,20537344
2026-01-05 22:52:34.08288998 +0000 UTC m=+32.075707551,9,77148,18859122000,20623360
2026-01-05 22:52:35.08638573 +0000 UTC m=+33.079203191,9,77148,19525720000,20377600
2026-01-05 22:52:36.08985988 +0000 UTC m=+34.082677341,9,77148,20224867000,20455424
2026-01-05 22:52:37.09239846 +0000 UTC m=+35.085215910,9,77148,20905904000,20770816
2026-01-05 22:52:38.095867839 +0000 UTC m=+36.088685290,9,77148,20927033000,20422656
2026-01-05 22:52:39.099381149 +0000 UTC m=+37.092198601,9,77148,20927033000,20422656
2026-01-05 22:52:43.242022008 +0000 UTC m=+41.234839469,0,0,0,0
