timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 22:48:57.991744632 +0000 UTC m=+0.652938124,5,77148,43706000,9273344
2026-01-05 22:48:58.993315972 +0000 UTC m=+1.654509464,21,77148,4052297000,165437440
2026-01-05 22:48:59.996155542 +0000 UTC m=+2.657349035,24,77148,8047400000,482328576
2026-01-05 22:49:00.999387183 +0000 UTC m=+3.660580675,24,77148,12012109000,535347200
2026-01-05 22:49:02.001863402 +0000 UTC m=+4.663056915,28,77148,16252030000,558387200
2026-01-05 22:49:03.004545293 +0000 UTC m=+5.665738795,30,77148,19740463000,604692480
2026-01-05 22:49:04.008062223 +0000 UTC m=+6.669255805,30,77148,22110118000,619802624
2026-01-05 22:49:05.011299243 +0000 UTC m=+7.672492725,30,77148,25981098000,668368896
2026-01-05 22:49:06.013896533 +0000 UTC m=+8.675090025,44,77148,30820684000,687292416
2026-01-05 22:49:07.016611834 +0000 UTC m=+9.677805336,50,77148,38344681000,707272704
2026-01-05 22:49:08.021495644 +0000 UTC m=+10.682689136,50,77148,45694074000,837730304
2026-01-05 22:49:09.031968994 +0000 UTC m=+11.693162486,51,77148,53145366000,1001189376
2026-01-05 22:49:10.035031144 +0000 UTC m=+12.696224626,51,77148,60327540000,1222848512
2026-01-05 22:49:11.038198245 +0000 UTC m=+13.699391836,51,77148,67259254000,1471913984
2026-01-05 22:49:12.041592984 +0000 UTC m=+14.702786506,51,77148,74313691000,1724604416
2026-01-05 22:49:13.045546944 +0000 UTC m=+15.706740537,51,77148,81222701000,2000572416
2026-01-05 22:49:14.048710655 +0000 UTC m=+16.709904147,51,77148,88242417000,2270842880
2026-01-05 22:49:15.051866375 +0000 UTC m=+17.713059857,51,77148,95095748000,2569875456
2026-01-05 22:49:16.054739975 +0000 UTC m=+18.715933457,51,77148,101748361000,2838708224
2026-01-05 22:49:17.057879365 +0000 UTC m=+19.719072857,51,77148,107639609000,3059658752
2026-01-05 22:49:18.061488365 +0000 UTC m=+20.722681858,51,77148,113300836000,3254525952
2026-01-05 22:49:19.064389366 +0000 UTC m=+21.725582857,51,77148,118619815000,3469664256
2026-01-05 22:49:20.066901176 +0000 UTC m=+22.728094668,51,77148,123863563000,3670466560
2026-01-05 22:49:21.070334756 +0000 UTC m=+23.731528248,51,77148,129124420000,3883237376
2026-01-05 22:49:22.074060156 +0000 UTC m=+24.735253668,51,77148,134442875000,4081381376
2026-01-05 22:49:23.077413246 +0000 UTC m=+25.738606758,51,77148,139533466000,4279123968
2026-01-05 22:49:24.080720796 +0000 UTC m=+26.741914289,50,77148,143452986000,4461998080
2026-01-05 22:49:25.083882867 +0000 UTC m=+27.745076349,49,77148,146973427000,4886257664
2026-01-05 22:49:26.087165186 +0000 UTC m=+28.748358708,49,77148,148801398000,4894818304
2026-01-05 22:49:27.090346237 +0000 UTC m=+29.751539769,49,77148,150587047000,4895281152
2026-01-05 22:49:28.093430247 +0000 UTC m=+30.754623749,49,77148,152339109000,4895178752
2026-01-05 22:49:29.096786607 +0000 UTC m=+31.757980099,49,77148,154091155000,4895612928
2026-01-05 22:49:30.099886867 +0000 UTC m=+32.761080359,49,77148,155829090000,4895551488
2026-01-05 22:49:31.103452078 +0000 UTC m=+33.764645580,49,77148,157622483000,4895686656
2026-01-05 22:49:32.106495498 +0000 UTC m=+34.767689020,49,77148,159538060000,4896047104
2026-01-05 22:49:33.109588587 +0000 UTC m=+35.770782069,49,77148,161303757000,4896190464
2026-01-05 22:49:34.113146788 +0000 UTC m=+36.774340280,49,77148,162960817000,4896075776
2026-01-05 22:49:35.116784408 +0000 UTC m=+37.777978020,49,77148,164691692000,4896215040
2026-01-05 22:49:36.119614828 +0000 UTC m=+38.780808310,49,77148,165700957000,4896247808
2026-01-05 22:49:37.122466548 +0000 UTC m=+39.783660070,49,77148,165724404000,4896235520
2026-01-05 22:49:38.125316778 +0000 UTC m=+40.786510280,49,77148,165743544000,4896231424
