timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 18:09:57.814570225 +0000 UTC m=+0.693526529,5,77148,151600000,55406592
2026-01-05 18:09:58.818096811 +0000 UTC m=+1.697053135,29,77148,2047408000,140435456
2026-01-05 18:09:59.820898387 +0000 UTC m=+2.699854721,29,77148,4308897000,167178240
2026-01-05 18:10:00.823863274 +0000 UTC m=+3.702819588,29,77148,6636321000,188043264
2026-01-05 18:10:01.82688566 +0000 UTC m=+4.705841974,29,77148,9261878000,211214336
2026-01-05 18:10:02.829953167 +0000 UTC m=+5.708909491,29,77148,11721023000,229617664
2026-01-05 18:10:03.833905124 +0000 UTC m=+6.712861448,29,77148,14014451000,247291904
2026-01-05 18:10:04.83659294 +0000 UTC m=+7.715549244,29,77148,16381229000,268926976
2026-01-05 18:10:05.839213278 +0000 UTC m=+8.718169592,29,77148,18759616000,282595328
2026-01-05 18:10:06.842012435 +0000 UTC m=+9.720968749,29,77148,21060029000,294424576
2026-01-05 18:10:07.844837132 +0000 UTC m=+10.723793446,29,77148,23512515000,291794944
2026-01-05 18:10:08.847941069 +0000 UTC m=+11.726897384,29,77148,25858759000,289349632
2026-01-05 18:10:09.850892378 +0000 UTC m=+12.729848712,30,77148,28146553000,276496384
2026-01-05 18:10:10.854335665 +0000 UTC m=+13.733291979,30,77148,30409999000,271134720
2026-01-05 18:10:11.857923793 +0000 UTC m=+14.736880107,30,77148,33177328000,258424832
2026-01-05 18:10:12.860694511 +0000 UTC m=+15.739650845,30,77148,35879398000,252792832
2026-01-05 18:10:13.86402108 +0000 UTC m=+16.742977414,30,77148,38485297000,241926144
2026-01-05 18:10:14.867565628 +0000 UTC m=+17.746521942,30,77148,41113695000,239931392
2026-01-05 18:10:15.870764436 +0000 UTC m=+18.749720751,30,77148,43667736000,235835392
2026-01-05 18:10:16.873987985 +0000 UTC m=+19.752944319,30,77148,46364730000,226516992
2026-01-05 18:10:17.876974614 +0000 UTC m=+20.755930928,30,77148,49026006000,221884416
2026-01-05 18:10:18.880099593 +0000 UTC m=+21.759055927,30,77148,51647013000,210452480
2026-01-05 18:10:19.883127132 +0000 UTC m=+22.762083446,30,77148,54337322000,208736256
2026-01-05 18:10:20.886222312 +0000 UTC m=+23.765178646,30,77148,56823846000,206512128
2026-01-05 18:10:21.889783762 +0000 UTC m=+24.768740086,30,77148,59339269000,190304256
2026-01-05 18:10:22.893413811 +0000 UTC m=+25.772370125,30,77148,61976468000,187801600
2026-01-05 18:10:23.895756531 +0000 UTC m=+26.774712845,30,77148,64370916000,185798656
2026-01-05 18:10:24.899396 +0000 UTC m=+27.778352355,30,77148,66720739000,183803904
2026-01-05 18:10:25.901540671 +0000 UTC m=+28.780496995,30,77148,69057053000,168108032
2026-01-05 18:10:26.903907251 +0000 UTC m=+29.782863585,30,77148,71473326000,168222720
2026-01-05 18:10:27.906817191 +0000 UTC m=+30.785773495,30,77148,73948019000,167288832
2026-01-05 18:10:28.909982082 +0000 UTC m=+31.788938396,30,77148,74426899000,150908928
2026-01-05 18:10:29.912569554 +0000 UTC m=+32.791525898,30,77148,74429131000,150888448
2026-01-05 18:10:30.96461353 +0000 UTC m=+33.843569844,0,0,0,0
