timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 18:27:23.815741883 +0000 UTC m=+0.569607931,5,77148,53809000,10330112
2026-01-05 18:27:24.818751218 +0000 UTC m=+1.572617256,28,77148,3817692000,167440384
2026-01-05 18:27:25.821424443 +0000 UTC m=+2.575290482,48,77148,7676489000,289624064
2026-01-05 18:27:26.824033428 +0000 UTC m=+3.577899467,48,77148,10218419000,302530560
2026-01-05 18:27:27.826623824 +0000 UTC m=+4.580489862,48,77148,11901255000,316137472
2026-01-05 18:27:28.829609209 +0000 UTC m=+5.583475267,48,77148,13391502000,338350080
2026-01-05 18:27:29.832000244 +0000 UTC m=+6.585866282,47,77148,15190820000,282828800
2026-01-05 18:27:30.834385709 +0000 UTC m=+7.588251757,47,77148,16840649000,310935552
2026-01-05 18:27:31.837041494 +0000 UTC m=+8.590907532,47,77148,17974547000,313671680
2026-01-05 18:27:32.83959366 +0000 UTC m=+9.593459688,47,77148,19400989000,352034816
2026-01-05 18:27:33.842393135 +0000 UTC m=+10.596259172,46,77148,20169724000,386043904
2026-01-05 18:27:34.8450494 +0000 UTC m=+11.598915448,47,77148,21225375000,379543552
2026-01-05 18:27:35.847146085 +0000 UTC m=+12.601012143,47,77148,23191228000,402460672
2026-01-05 18:27:36.84918092 +0000 UTC m=+13.603046978,48,77148,24205859000,434311168
2026-01-05 18:27:37.852497736 +0000 UTC m=+14.606363774,48,77148,24712637000,438595584
2026-01-05 18:27:38.854770521 +0000 UTC m=+15.608636549,46,77148,25340551000,468328448
2026-01-05 18:27:39.857070057 +0000 UTC m=+16.610936095,46,77148,26203201000,471724032
2026-01-05 18:27:40.859051742 +0000 UTC m=+17.612917790,46,77148,26534442000,484978688
2026-01-05 18:27:41.861756587 +0000 UTC m=+18.615622686,46,77148,27080750000,485343232
2026-01-05 18:27:42.864706533 +0000 UTC m=+19.618572561,47,77148,27651822000,493715456
2026-01-05 18:27:43.866721198 +0000 UTC m=+20.620587236,46,77148,27990752000,548388864
2026-01-05 18:27:44.869441313 +0000 UTC m=+21.623307352,46,77148,28519984000,552787968
2026-01-05 18:27:45.872007679 +0000 UTC m=+22.625873717,46,77148,28774655000,552804352
2026-01-05 18:27:46.874754565 +0000 UTC m=+23.628620613,46,77148,29086616000,555167744
2026-01-05 18:27:47.87747301 +0000 UTC m=+24.631339038,46,77148,29594447000,594919424
2026-01-05 18:27:48.880607445 +0000 UTC m=+25.634473473,46,77148,29926908000,620183552
2026-01-05 18:27:49.883862542 +0000 UTC m=+26.637728579,46,77148,30361070000,620232704
2026-01-05 18:27:50.886892057 +0000 UTC m=+27.640758085,46,77148,30697476000,624418816
2026-01-05 18:27:51.889764523 +0000 UTC m=+28.643630571,46,77148,30953352000,653885440
2026-01-05 18:27:52.892546538 +0000 UTC m=+29.646412576,46,77148,31222780000,664395776
2026-01-05 18:27:53.895033354 +0000 UTC m=+30.648899382,46,77148,31616550000,687579136
2026-01-05 18:27:54.89746382 +0000 UTC m=+31.651329858,46,77148,31944985000,700297216
2026-01-05 18:27:55.900603305 +0000 UTC m=+32.654469343,46,77148,32232210000,721371136
2026-01-05 18:27:56.902689861 +0000 UTC m=+33.656555889,46,77148,32248659000,721367040
2026-01-05 18:27:57.905484056 +0000 UTC m=+34.659350115,46,77148,32262761000,721367040
