timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 13:32:30.841805228 +0000 UTC m=+0.933368272,5,77148,95314000,18534400
2026-01-05 13:32:31.844991676 +0000 UTC m=+1.936554600,29,77148,703097000,83427328
2026-01-05 13:32:32.849593465 +0000 UTC m=+2.941156399,29,77148,1237135000,101212160
2026-01-05 13:32:33.854147556 +0000 UTC m=+3.945710470,29,77148,1688295000,105717760
2026-01-05 13:32:34.857944081 +0000 UTC m=+4.949506995,29,77148,2169608000,106430464
2026-01-05 13:32:35.861351989 +0000 UTC m=+5.952914893,29,77148,2664690000,107196416
2026-01-05 13:32:36.864902869 +0000 UTC m=+6.956465784,29,77148,3278072000,109903872
2026-01-05 13:32:37.868498592 +0000 UTC m=+7.960061516,29,77148,3932594000,110030848
2026-01-05 13:32:38.87748102 +0000 UTC m=+8.969043954,29,77148,4641447000,110096384
2026-01-05 13:32:39.881180516 +0000 UTC m=+9.972743440,29,77148,5358318000,110133248
2026-01-05 13:32:40.884548767 +0000 UTC m=+10.976111681,29,77148,6093780000,110170112
2026-01-05 13:32:41.88843901 +0000 UTC m=+11.980001924,29,77148,6860947000,110231552
2026-01-05 13:32:42.893299414 +0000 UTC m=+12.984862358,29,77148,7530513000,110276608
2026-01-05 13:32:43.896866671 +0000 UTC m=+13.988429595,29,77148,8261891000,108998656
2026-01-05 13:32:44.900162501 +0000 UTC m=+14.991725415,29,77148,8966118000,108777472
2026-01-05 13:32:45.903036575 +0000 UTC m=+15.994599499,29,77148,9682531000,108351488
2026-01-05 13:32:46.906060599 +0000 UTC m=+16.997623503,29,77148,10448962000,108457984
2026-01-05 13:32:47.911926774 +0000 UTC m=+18.003489688,29,77148,11082856000,108503040
2026-01-05 13:32:48.919901408 +0000 UTC m=+19.011464342,29,77148,11753266000,108535808
2026-01-05 13:32:49.92342774 +0000 UTC m=+20.014990674,29,77148,12398746000,108834816
2026-01-05 13:32:50.926083846 +0000 UTC m=+21.017646759,29,77148,12978004000,108060672
2026-01-05 13:32:51.930303961 +0000 UTC m=+22.021866876,29,77148,13469412000,108089344
2026-01-05 13:32:52.93432433 +0000 UTC m=+23.025887254,29,77148,14196988000,104968192
2026-01-05 13:32:53.938526651 +0000 UTC m=+24.030089635,29,77148,14745774000,105021440
2026-01-05 13:32:54.941815445 +0000 UTC m=+25.033378359,29,77148,15294760000,105099264
2026-01-05 13:32:55.945424771 +0000 UTC m=+26.036987695,29,77148,15863297000,105140224
2026-01-05 13:32:56.9485027 +0000 UTC m=+27.040065624,29,77148,16427006000,104644608
2026-01-05 13:32:57.952045831 +0000 UTC m=+28.043608735,29,77148,16943054000,104669184
2026-01-05 13:32:58.956680733 +0000 UTC m=+29.048243647,29,77148,17477978000,104161280
2026-01-05 13:32:59.961852657 +0000 UTC m=+30.053415591,29,77148,18095362000,104173568
2026-01-05 13:33:00.964443626 +0000 UTC m=+31.056006550,29,77148,18706020000,104136704
2026-01-05 13:33:01.967508348 +0000 UTC m=+32.059071281,29,77148,18708006000,104112128
2026-01-05 13:33:02.9708665 +0000 UTC m=+33.062429404,29,77148,18709724000,104112128
2026-01-05 13:33:03.972376228 +0000 UTC m=+34.063939142,0,0,0,0
