timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:33:21.166035021 +0000 UTC m=+11.230134107,48,77148,31129037000,481435648,850645,622609
2026-01-05 20:33:22.171709692 +0000 UTC m=+12.235808757,55,77148,33161433000,503705600,871443,751600
2026-01-05 20:33:23.173155743 +0000 UTC m=+13.237254808,56,77148,39867550000,584822784,910521,1966050
2026-01-05 20:33:24.181757164 +0000 UTC m=+14.245856229,56,77148,46836281000,757747712,963026,4536561
2026-01-05 20:33:25.184015715 +0000 UTC m=+15.248114770,56,77148,53721947000,773623808,1035250,8828517
2026-01-05 20:33:26.186626516 +0000 UTC m=+16.250725571,56,77148,60409261000,787042304,1105825,13782462
2026-01-05 20:33:27.206950696 +0000 UTC m=+17.271049761,56,77148,67523376000,792780800,1180891,19454873
2026-01-05 20:33:28.211623597 +0000 UTC m=+18.275722682,56,77148,74450822000,799670272,1255691,25403458
2026-01-05 20:33:29.219036188 +0000 UTC m=+19.283135273,56,77148,81423850000,922021888,1343045,32869411
2026-01-05 20:33:30.227564059 +0000 UTC m=+20.291663124,56,77148,88357449000,935956480,1439427,41100875
2026-01-05 20:33:31.23027015 +0000 UTC m=+21.294369215,56,77148,95100144000,938819584,1548191,51067660
2026-01-05 20:33:32.236859671 +0000 UTC m=+22.300958736,56,77148,101817144000,1084637184,1662175,61564374
2026-01-05 20:33:33.242758702 +0000 UTC m=+23.306857777,56,77148,108708241000,1085988864,1772435,71964648
2026-01-05 20:33:34.248615393 +0000 UTC m=+24.312714448,56,77148,115540376000,1087598592,1872485,81744779
2026-01-05 20:33:35.256710414 +0000 UTC m=+25.320809479,56,77148,122607289000,1123291136,1983791,92382356
2026-01-05 20:33:36.268703815 +0000 UTC m=+26.332802880,56,77148,129499011000,1267433472,2092754,102949473
2026-01-05 20:33:37.273717816 +0000 UTC m=+27.337816880,56,77148,136502719000,1269452800,2193222,112976952
2026-01-05 20:33:38.283738216 +0000 UTC m=+28.347837281,56,77148,143417934000,1270984704,2296044,123463513
2026-01-05 20:33:39.286495147 +0000 UTC m=+29.350594202,56,77148,150180143000,826712064,2422038,136276844
2026-01-05 20:33:40.294924278 +0000 UTC m=+30.359023343,56,77148,156788814000,1082212352,2649486,159545448
2026-01-05 20:33:41.29795125 +0000 UTC m=+31.362050325,56,77148,163453749000,1084985344,2909925,186932472
2026-01-05 20:33:42.30392544 +0000 UTC m=+32.368024506,57,77148,170113732000,1263071232,3158040,213163396
2026-01-05 20:33:43.306613922 +0000 UTC m=+33.370713007,57,77148,176733319000,1475493888,3412273,240216513
2026-01-05 20:33:44.315655783 +0000 UTC m=+34.379754848,57,77148,183399335000,1476440064,3692620,270422454
2026-01-05 20:33:45.317533634 +0000 UTC m=+35.381632709,57,77148,189993470000,1730375680,3962988,299650741
2026-01-05 20:33:46.320308015 +0000 UTC m=+36.384407070,57,77148,196396427000,1731379200,4246816,330635533
2026-01-05 20:33:47.329205146 +0000 UTC m=+37.393304210,56,77148,202780181000,1722048512,4543301,362772429
2026-01-05 20:33:48.336550536 +0000 UTC m=+38.400649602,55,77148,209324811000,2026147840,4853462,396962714
2026-01-05 20:33:49.342598838 +0000 UTC m=+39.406697903,56,77148,215664535000,2027470848,5167965,431981981
2026-01-05 20:33:50.347189829 +0000 UTC m=+40.411288894,57,77148,222249182000,2028609536,5426995,460542985
2026-01-05 20:33:51.35028061 +0000 UTC m=+41.414379685,56,77148,228686051000,2029404160,5715825,492926737
2026-01-05 20:33:52.39640828 +0000 UTC m=+42.460507355,56,77148,232647516000,2030370816,5886794,512633316
