timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:37:49.975676121 +0000 UTC m=+11.888357598,41,77148,35900502000,695164928,859373,628927
2026-01-05 20:37:50.991677263 +0000 UTC m=+12.904358771,49,77148,38192726000,711299072,881573,796999
2026-01-05 20:37:51.992801136 +0000 UTC m=+13.905482644,49,77148,45035950000,761319424,915929,1862131
2026-01-05 20:37:53.007918679 +0000 UTC m=+14.920600187,49,77148,52038427000,899637248,965104,4048419
2026-01-05 20:37:54.012025382 +0000 UTC m=+15.924706860,49,77148,58786130000,1141239808,1028945,7933460
2026-01-05 20:37:55.019340985 +0000 UTC m=+16.932022453,49,77148,65731218000,1481744384,1105802,13071566
2026-01-05 20:37:56.023737498 +0000 UTC m=+17.936419006,49,77148,72755317000,1822834688,1181697,18787865
2026-01-05 20:37:57.028100161 +0000 UTC m=+18.940781639,49,77148,79583739000,2153705472,1251906,24433162
2026-01-05 20:37:58.031215714 +0000 UTC m=+19.943897202,49,77148,86429662000,2514522112,1325529,30622922
2026-01-05 20:37:59.034623057 +0000 UTC m=+20.947304535,49,77148,92940650000,2876231680,1399518,36950275
2026-01-05 20:38:00.03836134 +0000 UTC m=+21.951042828,49,77148,99825514000,3284168704,1483512,44450435
2026-01-05 20:38:01.048299593 +0000 UTC m=+22.960981081,49,77148,106729773000,3788300288,1581401,53321912
2026-01-05 20:38:02.052581216 +0000 UTC m=+23.965262694,49,77148,113633169000,4400197632,1698977,64360977
2026-01-05 20:38:03.057543169 +0000 UTC m=+24.970224657,49,77148,120798508000,4869636096,1796158,73679965
2026-01-05 20:38:04.062147592 +0000 UTC m=+25.974829100,49,77148,126970213000,4874215424,1932709,86750466
2026-01-05 20:38:05.073006635 +0000 UTC m=+26.985688113,49,77148,133863076000,4874792960,2094114,102079269
2026-01-05 20:38:06.079113998 +0000 UTC m=+27.991795496,49,77148,140827225000,4875853824,2254776,118389249
2026-01-05 20:38:07.093560291 +0000 UTC m=+29.006241779,49,77148,147661357000,4877107200,2422593,135308710
2026-01-05 20:38:08.101306264 +0000 UTC m=+30.013987912,49,77148,154359257000,5129179136,2546716,148118048
2026-01-05 20:38:09.108466587 +0000 UTC m=+31.021148064,49,77148,161091291000,5445103616,2667026,160532178
2026-01-05 20:38:10.11137412 +0000 UTC m=+32.024055598,49,77148,167830423000,5446098944,2865790,181276402
2026-01-05 20:38:11.124575133 +0000 UTC m=+33.037256631,49,77148,174715110000,5447151616,3092279,204901342
2026-01-05 20:38:12.128568566 +0000 UTC m=+34.041250044,49,77148,181484458000,5462892544,3320866,229304336
2026-01-05 20:38:13.131634769 +0000 UTC m=+35.044316277,49,77148,188046841000,6538076160,3528088,251438348
2026-01-05 20:38:14.140678142 +0000 UTC m=+36.053359630,49,77148,194649454000,7848095744,3739540,274335787
2026-01-05 20:38:15.143334515 +0000 UTC m=+37.056015993,49,77148,201511344000,9180962816,3955049,297594472
2026-01-05 20:38:16.147120998 +0000 UTC m=+38.059802496,49,77148,208190811000,10461782016,4163515,320404658
2026-01-05 20:38:17.152645061 +0000 UTC m=+39.065326539,49,77148,214619835000,11504812032,4322607,337679381
2026-01-05 20:38:18.157239244 +0000 UTC m=+40.069920752,49,77148,220796031000,12359540736,4457602,352392003
2026-01-05 20:38:19.160818318 +0000 UTC m=+41.073499796,49,77148,227154444000,13339025408,4612776,369208089
2026-01-05 20:38:20.16509244 +0000 UTC m=+42.077773908,47,77148,233585982000,14132666368,4732223,382469375
2026-01-05 20:38:21.208319863 +0000 UTC m=+43.121001361,49,77148,238796248000,14387871744,4796194,389632934
2026-01-05 20:38:22.215657486 +0000 UTC m=+44.128338974,0,0,0,0,0,0
