timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:34:39.32576372 +0000 UTC m=+1.176552959,21,77148,566591000,103280640,10637,10771
2026-01-05 20:34:40.330141311 +0000 UTC m=+2.180930521,28,77148,2110329000,137654272,115005,3538122
2026-01-05 20:34:41.345962772 +0000 UTC m=+3.196752002,28,77148,6547483000,130146304,306284,16339810
2026-01-05 20:34:42.353702214 +0000 UTC m=+4.204491434,28,77148,11023782000,133939200,467751,29653267
2026-01-05 20:34:43.355976685 +0000 UTC m=+5.206765895,28,77148,15037755000,164872192,602388,41282828
2026-01-05 20:34:44.370014537 +0000 UTC m=+6.220803747,28,77148,19249529000,146182144,744074,54481900
2026-01-05 20:34:45.372980169 +0000 UTC m=+7.223769419,28,77148,23526959000,147742720,878605,67217518
2026-01-05 20:34:46.37678916 +0000 UTC m=+8.227578400,28,77148,27605098000,134950912,1003958,79461777
2026-01-05 20:34:47.380872512 +0000 UTC m=+9.231661722,28,77148,31677613000,145846272,1120846,90741643
2026-01-05 20:34:48.383933204 +0000 UTC m=+10.234722423,28,77148,35394755000,162836480,1216476,100286151
2026-01-05 20:34:49.386294645 +0000 UTC m=+11.237083875,28,77148,39086223000,160407552,1315469,110335952
2026-01-05 20:34:50.388632027 +0000 UTC m=+12.239421237,28,77148,43090796000,152469504,1420705,120716407
2026-01-05 20:34:51.392420389 +0000 UTC m=+13.243209609,28,77148,46890583000,179687424,1522226,131095285
2026-01-05 20:34:52.39499583 +0000 UTC m=+14.245785040,28,77148,51026422000,179126272,1637264,143150723
2026-01-05 20:34:53.398059132 +0000 UTC m=+15.248848362,28,77148,55600318000,219340800,1758478,155771648
2026-01-05 20:34:54.401204134 +0000 UTC m=+16.251993344,28,77148,60303538000,189808640,1888955,169204869
2026-01-05 20:34:55.403457685 +0000 UTC m=+17.254246905,28,77148,64512332000,258969600,1998645,180819003
2026-01-05 20:34:56.407321488 +0000 UTC m=+18.258110707,28,77148,68985138000,208101376,2119539,193554427
2026-01-05 20:34:57.409689499 +0000 UTC m=+19.260478709,28,77148,73344365000,202240000,2238230,206237887
2026-01-05 20:34:58.412340581 +0000 UTC m=+20.263129821,28,77148,77709781000,227450880,2354161,218673201
2026-01-05 20:34:59.414498182 +0000 UTC m=+21.265287403,28,77148,82213205000,191762432,2472176,231138565
2026-01-05 20:35:00.418250934 +0000 UTC m=+22.269040154,28,77148,86478039000,200613888,2574153,242139687
2026-01-05 20:35:01.422837666 +0000 UTC m=+23.273626886,28,77148,91216851000,205754368,2693508,254905160
2026-01-05 20:35:02.430360148 +0000 UTC m=+24.281149368,28,77148,96034377000,189526016,2814555,267844490
2026-01-05 20:35:03.433199019 +0000 UTC m=+25.283988240,28,77148,101088840000,194908160,2944283,282000646
2026-01-05 20:35:04.435492191 +0000 UTC m=+26.286281411,28,77148,106084404000,181166080,3074412,296113198
2026-01-05 20:35:05.437576073 +0000 UTC m=+27.288365293,28,77148,110742151000,183996416,3187979,308345323
2026-01-05 20:35:06.440414255 +0000 UTC m=+28.291203465,28,77148,115382111000,178188288,3308914,321817017
2026-01-05 20:35:07.442691147 +0000 UTC m=+29.293480407,28,77148,119910546000,209829888,3420069,333807393
2026-01-05 20:35:08.453380128 +0000 UTC m=+30.304169348,28,77148,124153595000,167260160,3530294,346066596
2026-01-05 20:35:09.45803692 +0000 UTC m=+31.308826150,28,77148,128059387000,159555584,3626978,356496554
2026-01-05 20:35:10.465829042 +0000 UTC m=+32.316618262,28,77148,130887460000,150441984,3671885,361751633
2026-01-05 20:35:11.498285343 +0000 UTC m=+33.349074563,0,0,0,0,0,0
