time,rss_mb,vms_mb,cpu
1767584524414.225,218.11328125,1789.4140625,120.87563641952786
1767584524434.9785,218.11328125,1861.41796875,539.3089808180107
1767584524455.62,220.11328125,2157.4375,489.85144352050816
1767584524476.247,221.80078125,2224.4375,343.35716708182736
1767584524496.885,225.97265625,2231.4375,244.2325922647818
1767584524517.6008,232.22265625,2237.4375,634.2070601919163
1767584524538.3584,232.984375,2309.44140625,683.1272947253304
1767584524559.0647,234.51953125,2309.44140625,538.3147700887914
1767584524579.8428,236.05078125,2310.44140625,194.29092888327781
1767584524600.5095,240.2421875,2317.94140625,48.86302103963284
1767584524621.707,244.27734375,2321.44140625,142.82857726622638
1767584524642.3643,244.79296875,2321.44140625,635.4339521495419
1767584524663.109,244.79296875,2321.44140625,635.2192735152258
1767584524683.867,246.33203125,2321.44140625,636.1233841989832
1767584524704.6653,247.09765625,2321.44140625,487.29047099007875
1767584524725.3513,247.87109375,2321.44140625,636.1901828322079
1767584524746.0796,248.12890625,2321.44140625,586.0626681105256
1767584524766.8044,248.38671875,2321.44140625,636.0788595693049
1767584524787.5405,248.38671875,2321.44140625,438.6582534425651
1767584524808.2617,248.84765625,2322.44140625,587.1223199496096
1767584524829.1326,248.84765625,2322.44140625,582.6433755860376
1767584524849.9336,248.84765625,2322.44140625,535.4596351144345
1767584524870.8152,248.84765625,2322.44140625,484.70011787274194
1767584524891.612,248.84765625,2322.44140625,439.16858821476285
1767584524916.2175,248.84765625,2322.44140625,534.8932880770678
1767584524936.9062,251.11328125,2328.44140625,489.1430703923106
1767584524957.6682,252.13671875,2328.44140625,536.4682681798113
1767584524978.4912,252.39453125,2328.44140625,535.7021074020291
1767584524999.3652,253.1640625,2328.44140625,533.5277302372929
1767584525020.1277,253.9375,2328.44140625,488.1752368537447
1767584525040.9272,254.40625,2328.94140625,488.1354669770131
1767584525061.6238,256.5234375,2335.44140625,586.4314027054429
1767584525082.2974,257.55078125,2335.44140625,585.3946661394045
1767584525105.6213,257.80859375,2335.44140625,519.8368965730933
1767584525126.2983,259.35546875,2335.44140625,489.01760522327413
1767584525146.9578,259.609375,2335.44140625,489.00620249032147
1767584525167.7913,260.12109375,2335.44140625,340.71936034164764
1767584525191.8552,261.23828125,2338.94140625,209.3446599518844
1767584525212.5515,263.04296875,2338.94140625,781.8994267604984
1767584525233.7761,264.33203125,2338.94140625,623.0398098633387
1767584525254.715,264.33203125,2338.94140625,536.4620303942901
1767584525275.4832,264.58984375,2338.94140625,489.49128806003506
1767584525296.0566,264.84765625,2338.94140625,441.61931725122184
1767584525316.7422,265.10546875,2338.94140625,537.4994932255294
1767584525337.4512,269.640625,2345.44140625,586.9579941690968
1767584525358.1511,270.15234375,2345.44140625,535.8265373671695
1767584525378.8687,270.15234375,2345.44140625,488.1525104164268
1767584525399.6326,270.6640625,2345.44140625,536.1503259619044
1767584525420.2998,271.1796875,2345.44140625,537.3617675491184
1767584525440.949,272.2109375,2345.44140625,637.0672866840359
1767584525461.6738,272.7265625,2345.44140625,537.242879433621
1767584525482.343,274.015625,2348.94140625,440.0337584221195
1767584525503.0269,275.53515625,2352.94140625,537.3617675491184
1767584525523.697,276.05078125,2352.94140625,440.7787858619156
1767584525545.1162,276.30859375,2352.94140625,471.3813371694428
1767584525565.7698,277.33984375,2352.94140625,489.06322147337806
1767584525587.2305,278.109375,2352.94140625,425.49608305059843
1767584525607.9373,278.3671875,2352.94140625,587.3210030689571
1767584525628.927,278.3671875,2352.94140625,432.69490262605814
1767584525649.7725,280.1953125,2356.44140625,782.7384529252553
1767584525670.4365,280.96484375,2356.44140625,489.1088462345806
1767584525691.3997,280.96484375,2356.44140625,678.1491413458969
1767584525712.0496,281.22265625,2356.44140625,537.9758165133351
1767584525732.6436,281.22265625,2356.44140625,588.1720636181979
1767584525753.4106,281.48046875,2356.44140625,438.5512337933912
1767584525774.01,281.48046875,2356.44140625,540.3131982667776
1767584525794.6206,281.98828125,2356.44140625,490.21212935800014
1767584525815.2168,284.2109375,2362.94140625,538.5346904472889
1767584525835.9443,284.72265625,2362.94140625,439.15326089485495
1767584525856.7034,285.23828125,2362.94140625,488.283216335462
1767584525877.4365,285.75,2362.94140625,438.535949534729
1767584525898.148,286.0078125,2362.94140625,488.186600865969
1767584525918.8071,286.265625,2362.94140625,489.08603278994207
1767584525939.45,287.5546875,2362.94140625,489.6741579592534
1767584525960.1145,287.8125,2362.94140625,440.2082283795123
1767584525980.9065,287.8125,2362.94140625,339.82022940080464
1767584526001.6917,289.63671875,2369.44140625,585.4219017156112
1767584526024.2212,290.1484375,2369.44140625,583.7958864655974
1767584526044.9355,290.6640625,2369.44140625,439.7466974208422
1767584526065.6985,290.6640625,2369.44140625,487.9594210991653
1767584526087.0808,291.6953125,2369.44140625,520.666997697826
1767584526107.9521,291.953125,2369.44140625,486.2397403199698
1767584526128.7131,291.953125,2369.44140625,487.7721569037883
1767584526149.406,292.7265625,2369.44140625,537.9820895522361
1767584526170.1184,293.75390625,2369.44140625,439.6033073250255
1767584526193.47,296.3125,2373.44140625,561.8799282784807
1767584526214.2156,296.3125,2373.44140625,488.3230102919929
1767584526236.5483,296.3125,2373.44140625,497.7274531802857
1767584526257.232,296.3125,2373.44140625,489.0233067891645
1767584526278.3047,296.5703125,2373.44140625,526.3875685974798
1767584526298.8987,296.5703125,2373.44140625,440.0337584221195
1767584526319.6008,296.5703125,2373.44140625,487.81186760019364
1767584526340.3115,296.5703125,2373.44140625,439.55211923614274
1767584526361.6602,296.5703125,2373.44140625,437.78832370746574
1767584526382.2996,297.7734375,2378.94140625,538.673018096912
1767584526402.9287,298.2890625,2378.94140625,538.9939602098127
1767584526425.4124,298.2890625,2378.94140625,539.2695831056504
1767584526446.216,298.2890625,2378.94140625,486.25101439866273
1767584526466.8867,298.8046875,2378.94140625,538.157794055901
1767584526487.715,299.57421875,2378.94140625,438.4697300562182
1767584526508.36,299.57421875,2378.94140625,489.66272458759767
1767584526529.0977,299.83203125,2378.94140625,488.54483827006453
1767584526549.9143,300.60546875,2378.94140625,341.9853701719165
1767584526570.6528,303.8828125,2386.44140625,537.0365145324872
1767584526591.4119,303.8828125,2386.44140625,584.4430148979861
1767584526612.2805,304.39453125,2386.44140625,631.4382064109642
1767584526633.0632,304.6484375,2386.44140625,487.3527532156745
1767584526653.9844,305.1640625,2386.44140625,584.8844678922585
1767584526674.8455,305.93359375,2386.44140625,437.9254515713632
1767584526695.64,307.22265625,2386.44140625,586.9922211207612
1767584526716.47,307.73828125,2386.44140625,534.6034159115636
1767584526737.1157,307.73828125,2386.44140625,392.33477930429734
1767584526757.805,309.015625,2389.44140625,97.51247297329373
1767584526778.4875,309.78515625,2389.44140625,293.969231488073
1767584526799.0967,312.09765625,2389.44140625,637.5514709321399
1767584526820.7017,312.87109375,2389.44140625,560.4174098941073
1767584526841.3237,313.12890625,2389.44140625,589.0462748402462
1767584526861.9878,313.12890625,2389.44140625,587.1976666861158
