timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:27:44.097639077 +0000 UTC m=+4.009024635,39,77148,7399295000,169648128,242439,175448
2026-01-05 20:27:45.110043803 +0000 UTC m=+5.021429371,53,77148,8210572000,186212352,293871,255863
2026-01-05 20:27:46.11231612 +0000 UTC m=+6.023701687,54,77148,10418656000,209362944,477598,582473
2026-01-05 20:27:47.114554696 +0000 UTC m=+7.025940234,54,77148,11847380000,215543808,661630,908757
2026-01-05 20:27:48.117260372 +0000 UTC m=+8.028645940,54,77148,13130040000,227926016,845496,1234998
2026-01-05 20:27:49.120264188 +0000 UTC m=+9.031649755,54,77148,14309847000,232259584,1029119,1561550
2026-01-05 20:27:50.122522474 +0000 UTC m=+10.033908022,54,77148,15377672000,238698496,1213406,1888103
2026-01-05 20:27:51.12581215 +0000 UTC m=+11.037197718,53,77148,15987558000,246161408,1397316,2214965
2026-01-05 20:27:52.128152476 +0000 UTC m=+12.039538044,53,77148,16976975000,256925696,1581476,2541575
2026-01-05 20:27:53.130897203 +0000 UTC m=+13.042282751,53,77148,18204288000,269848576,1765157,2867213
2026-01-05 20:27:54.133250759 +0000 UTC m=+14.044636327,53,77148,18778969000,272293888,1949260,3194100
2026-01-05 20:27:55.136509065 +0000 UTC m=+15.047894613,54,77148,19630563000,273092608,2133006,3519402
2026-01-05 20:27:56.138917021 +0000 UTC m=+16.050302569,55,77148,20715968000,277471232,2316818,3846559
2026-01-05 20:27:57.141510728 +0000 UTC m=+17.052896286,55,77148,21135278000,264003584,2500495,4172508
2026-01-05 20:27:58.144874284 +0000 UTC m=+18.056259832,55,77148,21482126000,264200192,2684649,4498780
2026-01-05 20:27:59.14744947 +0000 UTC m=+19.058835028,53,77148,21765057000,264327168,2869296,4825132
2026-01-05 20:28:00.152471547 +0000 UTC m=+20.063857095,53,77148,22025363000,264491008,3053162,5152946
2026-01-05 20:28:01.154988183 +0000 UTC m=+21.066373751,53,77148,22266081000,264577024,3237075,5478892
2026-01-05 20:28:02.157324839 +0000 UTC m=+22.068710397,53,77148,22532711000,264675328,3420885,5806049
2026-01-05 20:28:03.159995416 +0000 UTC m=+23.071380984,53,77148,22773595000,264724480,3604564,6131676
2026-01-05 20:28:04.162406952 +0000 UTC m=+24.073792510,53,77148,23013193000,264806400,3788718,6457948
2026-01-05 20:28:05.164833759 +0000 UTC m=+25.076219297,53,77148,23356522000,264888320,3972408,6783604
2026-01-05 20:28:06.167963856 +0000 UTC m=+26.079349404,53,77148,23647604000,264970240,4156980,7111121
2026-01-05 20:28:07.170165042 +0000 UTC m=+27.081550580,53,77148,23871175000,265019392,4340656,7436745
2026-01-05 20:28:08.172603659 +0000 UTC m=+28.083989206,53,77148,24095338000,265064448,4524234,7763594
2026-01-05 20:28:09.175013606 +0000 UTC m=+29.086399144,53,77148,24334554000,265134080,4708092,8090133
2026-01-05 20:28:10.177520282 +0000 UTC m=+30.088905830,53,77148,24571971000,265170944,4892014,8415773
2026-01-05 20:28:11.179902848 +0000 UTC m=+31.091288416,53,77148,24791857000,265203712,5075749,8741132
2026-01-05 20:28:12.182132315 +0000 UTC m=+32.093517883,54,77148,25336891000,268095488,5259617,9067699
2026-01-05 20:28:13.184487592 +0000 UTC m=+33.095873150,53,77148,25552230000,268124160,5443528,9393643
2026-01-05 20:28:14.187169378 +0000 UTC m=+34.098554916,53,77148,25858590000,268218368,5628074,9722063
2026-01-05 20:28:15.268510463 +0000 UTC m=+35.179896011,53,77148,26018820000,268320768,5740808,9919081
