timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:28:19.838490337 +0000 UTC m=+3.422557002,32,77148,7362316000,257413120,211577,152876
2026-01-05 20:28:20.840554184 +0000 UTC m=+4.424620849,47,77148,8592598000,270082048,276331,256993
2026-01-05 20:28:21.84456065 +0000 UTC m=+5.428627305,47,77148,10679435000,284831744,460519,583891
2026-01-05 20:28:22.846935427 +0000 UTC m=+6.431002092,47,77148,12278941000,288641024,644683,911708
2026-01-05 20:28:23.849142424 +0000 UTC m=+7.433209069,47,77148,13739667000,316772352,828072,1237617
2026-01-05 20:28:24.851665111 +0000 UTC m=+8.435731766,47,77148,15281076000,327225344,1011803,1562639
2026-01-05 20:28:25.853946638 +0000 UTC m=+9.438013303,46,77148,16357510000,327888896,1196151,1889865
2026-01-05 20:28:26.857252035 +0000 UTC m=+10.441318690,46,77148,17002821000,355426304,1380250,2216093
2026-01-05 20:28:27.859366672 +0000 UTC m=+11.443433347,46,77148,18003074000,358678528,1563686,2542038
2026-01-05 20:28:28.861909269 +0000 UTC m=+12.445975924,46,77148,18640321000,348295168,1747794,2868930
2026-01-05 20:28:29.864430945 +0000 UTC m=+13.448497590,46,77148,19309414000,377847808,1931420,3195161
2026-01-05 20:28:30.867044953 +0000 UTC m=+14.451111618,47,77148,20987028000,418287616,2115642,3521431
2026-01-05 20:28:31.87036318 +0000 UTC m=+15.454429825,48,77148,22180660000,430714880,2299326,3847072
2026-01-05 20:28:32.872830387 +0000 UTC m=+16.456897042,48,77148,23016118000,433143808,2483193,4173638
2026-01-05 20:28:33.875003243 +0000 UTC m=+17.459069889,48,77148,23288999000,437755904,2667522,4500818
2026-01-05 20:28:34.87724914 +0000 UTC m=+18.461315775,46,77148,23672660000,439885824,2851034,4826202
2026-01-05 20:28:35.879660977 +0000 UTC m=+19.463727622,46,77148,23961707000,442028032,3034898,5152756
2026-01-05 20:28:36.881843784 +0000 UTC m=+20.465910419,46,77148,24215675000,471470080,3218997,5479630
2026-01-05 20:28:37.884468462 +0000 UTC m=+21.468535187,46,77148,24455210000,473624576,3402733,5804666
2026-01-05 20:28:38.886741219 +0000 UTC m=+22.470807864,46,77148,24700336000,475729920,3586838,6131555
2026-01-05 20:28:39.889624726 +0000 UTC m=+23.473691361,46,77148,24953455000,479948800,3770467,6457798
2026-01-05 20:28:40.891763553 +0000 UTC m=+24.475830188,46,77148,25391941000,505241600,3954091,6784027
2026-01-05 20:28:41.89437432 +0000 UTC m=+25.478440975,46,77148,25649168000,507367424,4138430,7111226
2026-01-05 20:28:42.896808987 +0000 UTC m=+26.480875632,46,77148,25882661000,509480960,4322293,7437779
2026-01-05 20:28:43.898920175 +0000 UTC m=+27.482986819,46,77148,26126106000,538914816,4506076,7762196
2026-01-05 20:28:44.901136331 +0000 UTC m=+28.485202976,46,77148,26359493000,541036544,4689718,8088470
2026-01-05 20:28:45.903355639 +0000 UTC m=+29.487422284,46,77148,26576000000,543141888,4873758,8415933
2026-01-05 20:28:46.906253056 +0000 UTC m=+30.490319701,46,77148,26800260000,545251328,5057672,8741880
2026-01-05 20:28:47.908243553 +0000 UTC m=+31.492310208,46,77148,27078359000,572686336,5241539,9068446
2026-01-05 20:28:48.910657221 +0000 UTC m=+32.494723866,46,77148,27311363000,574791680,5425236,9394355
2026-01-05 20:28:49.913347338 +0000 UTC m=+33.497413993,46,77148,27632438000,576933888,5609506,9720087
2026-01-05 20:28:50.948300814 +0000 UTC m=+34.532367469,46,77148,27783391000,581275648,5712442,9901170
