timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:40:06.826735387 +0000 UTC m=+0.581050122,12,77148,92708000,30994432,6081,4400
2026-01-05 20:40:07.828724521 +0000 UTC m=+1.583039225,27,77148,239610000,56561664,109717,176976
2026-01-05 20:40:08.831038185 +0000 UTC m=+2.585352899,27,77148,476225000,73666560,294718,503836
2026-01-05 20:40:09.833785159 +0000 UTC m=+3.588099852,27,77148,762534000,90046464,478956,830966
2026-01-05 20:40:10.835793861 +0000 UTC m=+4.590108565,27,77148,1017943000,92712960,662924,1157228
2026-01-05 20:40:11.838762476 +0000 UTC m=+5.593077170,27,77148,1270375000,93683712,846958,1481999
2026-01-05 20:40:12.841237422 +0000 UTC m=+6.595552116,27,77148,1540844000,93716480,1031284,1807734
2026-01-05 20:40:13.843893237 +0000 UTC m=+7.598207931,27,77148,1816184000,94105600,1214866,2134605
2026-01-05 20:40:14.84660788 +0000 UTC m=+8.600922564,27,77148,2052062000,95490048,1398847,2462657
2026-01-05 20:40:15.849161985 +0000 UTC m=+9.603476669,27,77148,2303925000,95490048,1582414,2789477
2026-01-05 20:40:16.851690739 +0000 UTC m=+10.606005432,27,77148,2559709000,95625216,1766568,3115417
2026-01-05 20:40:17.854936043 +0000 UTC m=+11.609250737,27,77148,2830045000,98189312,1950596,3440174
2026-01-05 20:40:18.857178646 +0000 UTC m=+12.611493330,27,77148,3080167000,98189312,2134579,3765882
2026-01-05 20:40:19.859823041 +0000 UTC m=+13.614137735,27,77148,3322245000,98189312,2318447,4092135
2026-01-05 20:40:20.862305925 +0000 UTC m=+14.616620619,27,77148,3572013000,98189312,2502265,4420201
2026-01-05 20:40:21.864741419 +0000 UTC m=+15.619056103,27,77148,3810020000,98189312,2686135,4747409
2026-01-05 20:40:22.868158672 +0000 UTC m=+16.622473367,27,77148,4105474000,98189312,2869998,5073953
2026-01-05 20:40:23.870871116 +0000 UTC m=+17.625185810,27,77148,4429088000,98189312,3054021,5398695
2026-01-05 20:40:24.87336262 +0000 UTC m=+18.627677334,27,77148,4761022000,98189312,3238005,5724082
2026-01-05 20:40:25.875971254 +0000 UTC m=+19.630285978,27,77148,5111653000,98455552,3422111,6050659
2026-01-05 20:40:26.878791638 +0000 UTC m=+20.633106342,27,77148,5472388000,98455552,3605678,6377810
2026-01-05 20:40:27.881400212 +0000 UTC m=+21.635714906,27,77148,5812688000,98713600,3789951,6705582
2026-01-05 20:40:28.884420926 +0000 UTC m=+22.638735630,27,77148,6144724000,98455552,3973524,7032408
2026-01-05 20:40:29.887610141 +0000 UTC m=+23.641924855,27,77148,6475960000,97406976,4157786,7357474
2026-01-05 20:40:30.890417294 +0000 UTC m=+24.644732008,27,77148,6813814000,97406976,4342008,7682540
2026-01-05 20:40:31.89317409 +0000 UTC m=+25.647488774,27,77148,7103501000,97406976,4525692,8008834
2026-01-05 20:40:32.895707285 +0000 UTC m=+26.650021979,27,77148,7349238000,97406976,4709496,8335985
2026-01-05 20:40:33.898657249 +0000 UTC m=+27.652971943,27,77148,7642940000,97406976,4893484,8663731
2026-01-05 20:40:34.901721752 +0000 UTC m=+28.656036446,27,77148,7981375000,96223232,5077532,8991524
2026-01-05 20:40:35.903862937 +0000 UTC m=+29.658177630,27,77148,8242424000,96223232,5261313,9315930
2026-01-05 20:40:36.906291661 +0000 UTC m=+30.660606345,27,77148,8458621000,96223232,5445298,9641318
2026-01-05 20:40:38.285901068 +0000 UTC m=+32.040215762,0,0,0,0,0,0
